t,pitch_angle,yaw_angle,err_x_px,err_y_px,u_yaw_dps,u_pitch_dps,score,src
21.019574642181396,14.7,-23.0,-3.2774796441892704,11.127043810282203,-0.4161353163242811,-2.784877067481206,0.5,blob
21.155781984329224,14.4,-23.1,3.81963823127694,20.707578476683466,1.0140459508579664,-4.467467282421303,0.5,blob
21.29710841178894,13.9,-23.0,6.85776485033,26.40992600984424,1.484289559270871,-5.323223529780789,0.5,blob
21.444674015045166,13.1,-22.8,8.657547152714528,28.191451906398754,1.7235163786159209,-5.4174144345563375,0.5,blob
21.579090356826782,12.3,-22.6,9.652405649264438,26.199443739159165,1.8363139353343516,-4.811292947583365,0.5,blob
21.715911388397217,11.4,-22.3,8.899063672021839,21.754638430453497,1.6030939773162969,-3.7992366258831223,0.5,blob
21.867553234100342,10.9,-22.1,5.084391386814218,8.890514979794773,0.7694111718185143,-1.115954678864275,0.5,blob
22.00190281867981,10.5,-21.9,1.9048544014292474,2.978834736866588,0.13100893621142062,-0.07210527202562145,0.5,blob
22.14495015144348,10.4,-21.9,-0.8618446390710233,-2.438757421036712,-0.3784397899462052,0.8623422042942274,0.5,blob
22.285019159317017,10.5,-21.9,-2.8351990153961424,-6.310192323673846,-0.7131350760840643,1.4877456667689084,0.5,blob
22.423205137252808,10.8,-22.0,-4.117879360007464,-8.826625010388,-0.909769492841364,1.8579088950739635,0.5,blob
22.573975563049316,11.1,-22.1,-4.601621584004874,-9.587306256752186,-0.9493909637858597,1.8876918391210893,0.5,blob
22.715367317199707,11.3,-22.2,-2.8160540296031513,-7.281749066888892,-0.5250829588090752,1.3123950925085084,0.5,blob
22.851439476013184,11.7,-22.4,-0.6054351192420881,-4.733136893477763,-0.0576198702278638,0.7613911344243767,0.5,blob
23.005147457122803,11.8,-22.4,-1.2685328275073289,-3.776538980760563,-0.24501669791325384,0.6056343818897916,0.5,blob
23.146602153778076,11.9,-22.4,-2.2245463378797012,-0.879750337494329,-0.46336263509068537,0.02113585632178369,0.5,blob
23.321115732192993,12.0,-22.5,-2.3209551196217717,-5.471837719371308,-0.4728427377806211,1.0502235715072676,0.5,blob
23.454795598983765,12.1,-22.5,-0.45862082775420276,-1.2816945175913474,-0.061252992181002594,0.1089319326047683,0.5,blob
23.602500200271606,12.2,-22.6,-0.6481035380402318,0.21689856356562132,-0.13325234485615145,-0.14836587442849034,0.5,blob
23.74489188194275,12.2,-22.6,-0.5962672997261507,1.1909840663176396,-0.13463731401704365,-0.30096718905156356,0.5,blob
23.90599513053894,12.1,-22.6,-0.5625737448219752,1.9991396431064459,-0.13470952411694204,-0.4259693583066309,0.5,blob
24.061201572418213,12.1,-22.6,1.7343270658657275,4.799440768019167,0.34864485505011206,-0.9849792584932151,0.5,blob
24.199278354644775,11.9,-22.6,0.7773125928126774,5.21963649921247,0.10268546310248973,-1.0131310394189488,0.5,blob
24.363434076309204,11.8,-22.6,0.1552531853282062,4.6177637244881,-0.030428520984533206,-0.8475435926776368,0.5,blob
24.51057004928589,11.6,-22.6,-0.24908542953664892,0.7265464209172592,-0.10857912576130913,-0.004572448346218949,0.5,blob
24.716959714889526,11.6,-22.6,0.18809447080116115,-3.202744826403773,-0.008234423029659028,0.737006505327106,0.5,blob
24.8639714717865,11.7,-22.6,0.47226140602072064,-5.406784137162447,0.052820427786141724,1.1307035242549472,0.5,blob
25.004242658615112,11.8,-22.6,0.6569699139134855,-1.9394096891555819,0.08794531434062346,0.30649183681327885,0.5,blob
25.185331106185913,11.9,-22.6,0.07703044404377124,-0.38561629795111685,-0.0381049069868305,0.007454150215343694,0.5,blob
25.343995332717896,12.0,-22.6,-14.99993021137152,-17.57565059366823,-3.2221360866829154,3.676870854010898,0.5,blob
25.504830360412598,12.4,-22.9,-9.749954637391511,-9.849172885884343,-1.8739358602936742,1.7918191682991513,0.5,blob
25.658374071121216,13.0,-23.3,-5.462470514304528,-3.4269623758248144,-0.9241841234551909,0.4197177186473885,0.5,blob
25.805683374404907,13.1,-23.4,-1.6256058342979713,2.3224744557138592,-0.15391431913492967,-0.709308702845463,0.5,blob
25.954599857330322,13.1,-23.5,1.9183562077063243,7.109608396214014,0.5126164872244144,-1.583729184180004,0.5,blob
26.094767093658447,12.9,-23.5,7.8969315350091165,11.971245457539112,1.6974394650927818,-2.4779974640392073,0.5,blob
26.245055437088013,12.4,-23.2,8.283005497755994,2.181309547400417,1.620920276809031,-0.22621685708619085,0.5,blob
26.38875722885132,12.2,-23.0,-7.916046426458593,-13.282148794189709,-1.9445700643086807,3.014543735096235,0.5,blob
26.524284601211548,12.6,-23.1,-19.49543017719816,-24.033396716223308,-4.217459905219441,5.037272722105836,0.5,blob
26.751651525497437,14.1,-24.1,-21.42202961517887,-27.696707865545136,-4.274073537372489,5.42480234861493,0.5,blob
26.937461137771606,15.1,-24.8,-5.5243192498662665,-8.377860112604367,-0.7970943318490878,1.2109019260975433,0.5,blob
27.126133918762207,15.8,-25.3,9.884192487586915,10.129390926807162,2.264915120347262,-2.459529095236012,0.5,blob
27.32605242729187,15.4,-24.9,15.349725116931495,17.60910410242468,3.1215177505199394,-3.6723069615469552,0.5,blob
27.526451587677002,14.7,-24.4,17.852321326005494,25.095917666576042,3.4343390449796916,-4.953203527421858,0.5,blob
27.696174144744873,13.7,-23.8,21.75400886190357,29.962346483274416,4.120512943054538,-5.7526195491331436,0.5,blob
27.86439871788025,12.4,-23.1,18.51510576023736,24.200525214128334,3.318361972039596,-4.362755900664019,0.5,blob
28.036712169647217,11.3,-22.4,18.859818744154268,21.330341389183445,3.377275086736483,-3.757888949238275,0.5,blob
28.23955202102661,10.4,-21.8,15.408882183700257,14.914721902969234,2.6596209139157216,-2.4842181189865875,0.5,blob
28.44106388092041,9.7,-21.2,7.040773419405241,4.619569236930033,0.9825365321159927,-0.4742999388118068,0.5,blob
28.62793278694153,9.4,-20.9,4.0515027226134634,-3.472279995995507,0.48671023737513175,1.0218032818406857,0.5,blob
28.814250707626343,9.5,-20.8,-1.5665232303013,-9.78198199739711,-0.5742616744739495,2.130299470712857,0.5,blob
29.0144259929657,9.8,-20.8,-5.743240099695868,-13.708288298308105,-1.3045966815993637,2.752338277992041,0.5,blob
29.20244860649109,10.4,-21.1,-10.033106064802269,-18.360387393900282,-2.075918673794402,3.5732154198855692,0.5,blob
29.40665054321289,11.2,-21.5,-10.021518942121475,-15.609251806035218,-1.9591541944802189,2.8788325307155485,0.5,blob
29.591835021972656,12.0,-21.9,-5.988987312378981,-10.846013673922869,-1.0673726364959006,1.8606570964833016,0.5,blob
29.856990337371826,12.7,-22.3,-4.417841753046332,-3.374908888049845,-0.7809170692525863,0.4231772607203842,0.5,blob
30.05793786048889,12.9,-22.4,0.27840286051991825,3.2313092227675497,0.15352143103254084,-0.8358871905675763,0.5,blob
30.260270833969116,12.8,-22.4,1.7559618593379582,8.750350994798907,0.383732559394595,-1.8364403181649889,0.5,blob
30.461585998535156,12.3,-22.4,4.991375208569707,11.987728146619247,0.9921588018775411,-2.366904382071961,0.5,blob
30.709933519363403,11.7,-22.2,6.569393885570321,12.517023295302522,1.2407544430436577,-2.3664864340288614,0.5,blob
30.926854610443115,11.3,-22.0,7.945106025620703,10.761065141946688,1.4706891335981729,-1.9515155068560734,0.5,blob
